city,state_id,state_name,county_name,lat,lng,zips,id
Weir,TX,Texas,Williamson,30.6759,-97.5930,78626 78674,1840022167
Turkey Creek,AZ,Arizona,Navajo,33.8011,-109.9461,85941,1840075498
Nectar,AL,Alabama,Blount,33.9686,-86.6346,35079 35049,1840016721
Laurel,IN,Indiana,Franklin,39.5017,-85.1877,47024,1840009596
Urbana,MO,Missouri,Dallas,37.8436,-93.1676,65767,1840010851
Camden Point,MO,Missouri,Platte,39.4532,-94.7489,64018,1840007356
Montreat,NC,North Carolina,Buncombe,35.6478,-82.3001,28757,1840016283
The Silos,MT,Montana,Broadwater,46.3985,-111.5865,59644,1840039745
The Highlands,KS,Kansas,Reno,38.1659,-97.9497,67502,1840150087
Worthington,PA,Pennsylvania,Armstrong,40.8380,-79.6351,16262,1840000881
Bonfield,IL,Illinois,Kankakee,41.1450,-88.0542,60913,1840011691
Robards,KY,Kentucky,Henderson,37.6766,-87.5333,42452,1840014336
Mardela Springs,MD,Maryland,Wicomico,38.4589,-75.7565,21837,1840006221
Fairplay,MD,Maryland,Washington,39.5357,-77.7463,21733 21713,1840024399
Barnegat Light,NJ,New Jersey,Ocean,39.7530,-74.1095,08006,1840003755
Malden,IL,Illinois,Bureau,41.4249,-89.3698,61337,1840011574
New England,GA,Georgia,Dade,34.9079,-85.4880,30757 30752,1840049757
Stanardsville,VA,Virginia,Greene,38.2991,-78.4368,22973,1840006239
Mount Auburn,IL,Illinois,Christian,39.7649,-89.2608,62547,1840012547
Icehouse Canyon,AZ,Arizona,Gila,33.3553,-110.7965,85501,1840075398
Churdan,IA,Iowa,Greene,42.1542,-94.4781,50050,1840007014
Williamsburg,IN,Indiana,Wayne,39.9509,-84.9964,47393,1840056044
Witches Woods,CT,Connecticut,Northeastern Connecticut,41.9485,-72.0724,06281,1840142372
Enoree,SC,South Carolina,Spartanburg,34.6593,-81.9609,29335,1840026959
Grover Hill,OH,Ohio,Paulding,41.0190,-84.4774,45849,1840011722
Walnuttown,PA,Pennsylvania,Berks,40.4467,-75.8405,19522,1840026466
Bancroft,WV,West Virginia,Putnam,38.5107,-81.8417,25011,1840006181
Jenkins,MN,Minnesota,Crow Wing,46.6528,-94.3298,56472 56474 56456,1840007742
Hickory,MS,Mississippi,Newton,32.3167,-89.0217,39332,1840015806
Pippa Passes,KY,Kentucky,Knott,37.3342,-82.8733,41844,1840014372
Buckley,IL,Illinois,Iroquois,40.5973,-88.0378,60918,1840010337
Union,LA,Louisiana,St. James,30.0918,-90.8844,70723,1840025131
De Land,IL,Illinois,Piatt,40.1218,-88.6435,61839,1840012322
Crystal Lake Park,MO,Missouri,St. Louis,38.6212,-90.4321,63131,1840007444
Hoyleton,IL,Illinois,Washington,38.4457,-89.2721,62803,1840012900
Garland,TN,Tennessee,Tipton,35.5823,-89.7525,38019,1840016316
Pine Hollow,OR,Oregon,Wasco,45.2420,-121.2910,97063,1840034825
Oak City,NC,North Carolina,Martin,35.9625,-77.3051,27857,1840016207
Grapeville,PA,Pennsylvania,Westmoreland,40.3253,-79.6060,15634,1840034995
Kiana,AK,Alaska,Northwest Arctic,66.9727,-160.4343,99749,1840023491
Wellsburg,NY,New York,Chemung,42.0126,-76.7298,14894,1840004691
Sparkman,AR,Arkansas,Dallas,33.9172,-92.8501,71763,1840015619
Whittier,AK,Alaska,Chugach,60.7852,-148.6455,99693,1840023397
Bourneville,OH,Ohio,Ross,39.2828,-83.1596,45617 45681,1840026658
Pajonal,PR,Puerto Rico,Florida,18.3847,-66.5560,00650,1630023647
Ellsworth,MN,Minnesota,Nobles,43.5207,-96.0186,56129,1840007927
Forestville,PA,Pennsylvania,Schuylkill,40.6938,-76.2925,17901,1840034973
Weekapaug,RI,Rhode Island,Washington,41.3359,-71.7633,02891,1840026293
Lexington,GA,Georgia,Oglethorpe,33.8701,-83.1102,30648,1840014764
Fargo,GA,Georgia,Clinch,30.6881,-82.5721,31631,1840013893
Hornersville,MO,Missouri,Dunklin,36.0403,-90.1156,63855,1840007667
Ducktown,TN,Tennessee,Polk,35.0360,-84.3848,37317 37326,1840013488
Washington Park,NC,North Carolina,Beaufort,35.5328,-77.0316,27889,1840016303
Rebersburg,PA,Pennsylvania,Centre,40.9427,-77.4441,16872,1840005162
Los Altos,TX,Texas,Webb,27.4904,-99.3858,78043,1840037112
Dalton,NE,Nebraska,Cheyenne,41.4083,-102.9708,69131,1840011642
Michigantown,IN,Indiana,Clinton,40.3281,-86.3916,46057,1840009433
Red Mesa,AZ,Arizona,Apache,36.9664,-109.3828,86514,1840018998
Helen,GA,Georgia,White,34.7046,-83.7214,30545,1840014666
Rancho Mesa Verde,AZ,Arizona,Yuma,32.5944,-114.6551,85350,1840038041
Fair Play,MO,Missouri,Polk,37.6331,-93.5769,65649,1840008714
Boulder Flats,WY,Wyoming,Fremont,42.9156,-108.7993,82520,1840038425
Arnoldsville,GA,Georgia,Oglethorpe,33.9103,-83.2180,30619,1840013695
Pink Hill,NC,North Carolina,Lenoir,35.0562,-77.7436,28572,1840016390
Cape Colony,NC,North Carolina,Chowan,36.0211,-76.5815,27932,1840151246
Rouseville,PA,Pennsylvania,Venango,41.4704,-79.6847,16344,1840003429
Grand Rivers,KY,Kentucky,Livingston,37.0050,-88.2330,42045,1840013247
Green Valley Farms,TX,Texas,Cameron,26.1219,-97.5610,78586,1840037049
Morning Glory,TX,Texas,El Paso,31.5648,-106.2089,79836,1840037064
Dean,TX,Texas,Clay,33.9299,-98.3676,76305,1840019284
Stanford,IL,Illinois,McLean,40.4322,-89.2209,61774,1840011982
Meadow Valley,CA,California,Plumas,39.9323,-121.0830,95956,1840018765
Cairnbrook,PA,Pennsylvania,Somerset,40.1246,-78.8189,15924,1840026535
Miami,TX,Texas,Roberts,35.6923,-100.6417,79059,1840020393
Bolton,NC,North Carolina,Columbus,34.3174,-78.3976,28423,1840015568
Kimball,SD,South Dakota,Brule,43.7468,-98.9569,57355,1840002616
Sanders,KY,Kentucky,Carroll,38.6549,-84.9466,41083,1840015182
Wheeler,OR,Oregon,Tillamook,45.6873,-123.8871,97147,1840021204
Center,MO,Missouri,Ralls,39.5096,-91.5291,63436,1840007323
Alma,TX,Texas,Ellis,32.2813,-96.5497,75119,1840022084
Trenton,NE,Nebraska,Hitchcock,40.1747,-101.0136,69044,1840012298
Bunn,NC,North Carolina,Franklin,35.9591,-78.2520,27508,1840015321
Mantoloking,NJ,New Jersey,Ocean,40.0435,-74.0514,08738,1840003754
Sportsmen Acres,OK,Oklahoma,Mayes,36.2458,-95.2517,74361,1840022670
Ronda,NC,North Carolina,Wilkes,36.2217,-80.9431,28670,1840017720
Newfolden,MN,Minnesota,Marshall,48.3568,-96.3297,56738,1840007696
